#,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Type 1,Type 2,Img Link,Descrição,Descrição Pt-Br
6,Mega Charizard Y,634,78,104,78,159,115,100,Fire,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/0aa78a0061bda9d88cbb0bbf739cd9cc56522fe9.png,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponentweaker than itself.","Charizard voa pelo céu em busca de oponentes poderosos. Ele cospe fogo com um calor tão grande que derrete qualquer coisa. Entretanto, ele nunca direciona seu sopro de fogo contra qualquer oponente mais fraco que ele."
7,Squirtle,314,44,48,65,50,64,43,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/5794f0251b1180998d72d1f8568239620ff5279c.png,"After birth, its back swells and hardens into a shell. It sprays a potent foam from its mouth.","Após o nascimento, suas costas incha e endurece formando uma concha. Ele espalha uma espuma potente pela boca."
8,Wartortle,405,59,63,80,65,80,58,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a3bc17e6215031332462cc64e59b7922ddd14b91.png,"Wartortle's long, furry tail is a symbol of longevity, so this Pokémon is quite popular among older people.","A cauda longa e peluda de Wartortle é um símbolo de longevidade, por isso este Pokémon é bastante popular entre os idosos."
9,Blastoise,530,79,83,100,85,105,78,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2fe157db59153af8abd636ab03c7df6f28b08242.png,It deliberately increases its body weight so it can withstand the recoil of the water jets it fires.,Ele aumenta deliberadamente o peso do corpo para poder suportar o recuo dos jatos de água que dispara.
9,Blastoise Gigantamax,530,79,83,100,85,105,78,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/50eba0f85c4e9a039be078e7de0b10acc7323264.png,"It’s not very good at precision shooting. When attacking, it just fires its 31 cannons over and over and over.","Não é muito bom em tiros de precisão. Ao atacar, ele apenas dispara seus 31 canhões repetidamente."
9,Mega Blastoise,630,79,103,120,135,115,78,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/00186af714a048895ba8116e71b08671c3cfb8f5.png,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets ofwater with enough accuracy to strike empty cans from adistance of over 160 feet.,Blastoise tem bicas de água que se projetam de sua concha. Os jatos de água são muito precisos. Eles podem disparar balas de água com precisão suficiente para atingir latas vazias a uma distância de mais de 50 metros.
10,Caterpie,195,45,30,35,20,20,45,Bug,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/68f0cec6bcba20a0c53db3d8cfce81bd319d2c82.png,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.","Para proteção, ele libera um fedor horrível da antena em sua cabeça para afastar os inimigos."
11,Metapod,205,50,20,55,25,25,30,Bug,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/05fd4676fa4a4b58288510a97a5211e066e02464.png,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.","Está esperando o momento de evoluir. Nesta fase, ele só pode endurecer, por isso permanece imóvel para evitar ataques."
12,Butterfree,395,60,45,50,90,80,70,Bug,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/eacd20285cb634ba9fea41fc0fa13871c2fcbc66.png,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.","Na batalha, ele bate as asas em grande velocidade para liberar poeira altamente tóxica no ar."
12,Butterfree Gigantamax,395,60,45,50,90,80,70,Bug,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b76026363e301dbd8ac3f084e7d242232c46c95f.png,Crystallized Gigantamax energy makes up this Pokémon’s blindingly bright and highly toxic scales.,A energia cristalizada Gigantamax compõe as escamas incrivelmente brilhantes e altamente tóxicas deste Pokémon.
13,Weedle,195,40,35,30,20,20,50,Bug,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/5ae74d403ec682eaf13e066850afd4b0c20d85f7.png,Weedle has an extremely acute sense of smell. It is capable ofdistinguishing its favorite kinds of leaves from those it dislikesjust by sniffing with its big red proboscis (nose).,Weedle tem um olfato extremamente apurado. É capaz de distinguir seus tipos de folhas favoritos daqueles de que não gosta apenas cheirando com sua grande tromba vermelha (nariz).
14,Kakuna,205,45,25,50,25,25,35,Bug,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/dd41f31a3c97f1f9d998361b125362584873157b.png,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares forits coming evolution. This is evident from how hot the shellbecomes to the touch.","Kakuna permanece virtualmente imóvel enquanto se agarra a uma árvore. No entanto, por dentro, está extremamente ocupado enquanto se prepara para a sua evolução futura. Isto é evidente pelo quão quente a casca fica ao toque."
15,Beedrill,395,65,90,40,45,80,75,Bug,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/70f4206271b72492c9ba71d708d6183a80ba0e96.png,"Beedrill is extremely territorial. No one should ever approachits nest—this is for their own safety. If angered, they will attackin a furious swarm.","Beedrill é extremamente territorial. Ninguém jamais deveria se aproximar de seu ninho – isso é para sua própria segurança. Se ficarem irritados, eles atacarão em um enxame furioso."
15,Mega Beedrill,495,65,150,40,15,80,145,Bug,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/e12ce48ab99b2df6fbbc1e97038c4f6e192d09d7.png,"Beedrill is extremely territorial. No one should ever approachits nest—this is for their own safety. If angered, they will attackin a furious swarm.","Beedrill é extremamente territorial. Ninguém jamais deveria se aproximar de seu ninho – isso é para sua própria segurança. Se ficarem irritados, eles atacarão em um enxame furioso."
16,Pidgey,251,40,45,40,35,35,56,Normal,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/0e7c6e616404c683f00701b591eeab56e465641a.png,"Pidgey has an extremely sharp sense of direction. It is capableof unerringly returning home to its nest, however far it may beremoved from its familiar surroundings.","Pidgey tem um senso de direção extremamente aguçado. É capaz de retornar infalivelmente para casa, para seu ninho, por mais longe que esteja de seu ambiente familiar."
17,Pidgeotto,349,63,60,55,50,50,71,Normal,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a2935587b7c61e6e6da88da3578d700c133246e5.png,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughlypunishing the foe with its sharp claws.","Pidgeotto reivindica uma grande área como seu próprio território. Este Pokémon voa, patrulhando seu espaço vital. Se seu território for violado, ele não demonstra piedade ao punir completamente o inimigo com suas garras afiadas."
18,Pidgeot,479,83,80,75,70,70,101,Normal,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/01e13954dff668c1420407c98b308c81b83f6dda.png,"This Pokémon has a dazzling plumage of beautifullyglossy feathers. Many Trainers are captivated by thestriking beauty of the feathers on its head, compellingthem to choose Pidgeot as their Pokémon.","Este Pokémon tem uma plumagem deslumbrante de penas lindamente brilhantes. Muitos Treinadores ficam cativados pela beleza impressionante das penas em sua cabeça, obrigando-os a escolher Pidgeot como seu Pokémon."
18,Mega Pidgeot,579,83,80,80,135,80,121,Normal,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/dd6ab4ce8e7d05fb74e50cf66764e3ed8e11a097.png,"This Pokémon has a dazzling plumage of beautifullyglossy feathers. Many Trainers are captivated by thestriking beauty of the feathers on its head, compellingthem to choose Pidgeot as their Pokémon.","Este Pokémon tem uma plumagem deslumbrante de penas lindamente brilhantes. Muitos Treinadores ficam cativados pela beleza impressionante das penas em sua cabeça, obrigando-os a escolher Pidgeot como seu Pokémon."
19,Rattata,253,30,56,35,25,35,72,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/3e4b38ab7545ebd938154d9aed9502cb068569d6.png,"Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death.","Seus incisivos crescem continuamente ao longo de sua vida. Se seus incisivos ficarem muito longos, este Pokémon não conseguirá comer e morrerá de fome."
19,Rattata Alolan Rattata,253,30,56,35,25,35,72,Dark,Normal,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/3567693e3479fb0cf15b9ec84ee8a033aa7b4310.png,"It shows no interest in anything that isn't fresh. If you take it shopping with you, it will help you pick out ingredients.","Não demonstra interesse por nada que não seja novo. Se você levá-lo às compras, ele o ajudará a escolher os ingredientes."
20,Raticate,413,55,81,60,50,70,97,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/e97c62e4e4b46017be60806d00f4d389d003f115.png,People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.,As pessoas dizem que ele fugiu de seus inimigos usando suas pequenas patas traseiras palmadas para nadar de ilha em ilha em Alola.
20,Raticate Alolan Raticate,413,75,71,70,40,80,77,Dark,Normal,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a30454b7040a4a517bfe0914777e2e7c045f6c65.png,"It has an incredibly greedy personality. Its nest is filled with so much food gathered by Rattata at its direction, it can't possibly eat it all.",Tem uma personalidade incrivelmente gananciosa. Seu ninho está cheio de tanta comida coletada por Rattata sob sua direção que ele não consegue comer tudo.
21,Spearow,262,40,60,30,31,31,70,Normal,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/e815cb4b8ba9c2d0841dfa364c87164880944e3a.png,Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory.,Sua natureza imprudente o leva a enfrentar outros (até mesmo Pokémon grandes) se precisar proteger seu território.
22,Fearow,442,65,90,65,61,61,100,Normal,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/8b326a6f77b73b3c250ba95f3a97fc21b28c8f4b.png,Carrying food through Fearow's territory is dangerous. It will snatch the food away from you in a flash!,Transportar comida pelo território de Fearow é perigoso. Ele vai roubar a comida de você num piscar de olhos!
23,Ekans,288,35,60,44,40,54,55,Poison,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ad90ec632849d032615d707ebe8ad741651eee06.png,"It can freely detach its jaw to swallow large prey whole. It can become too heavy to move, however.","Ele pode soltar livremente sua mandíbula para engolir presas grandes inteiras. No entanto, pode ficar muito pesado para ser movido."
24,Arbok,448,60,95,69,65,79,80,Poison,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/eb3c14ed44c1e4a2ba4c2d7970cddf07cd8ef67f.png,The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.,O padrão em sua barriga parece ser um rosto assustador. Inimigos fracos fugirão apenas ao ver o padrão.
25,Pikachu,320,35,55,40,50,50,90,Electric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,"When it is angered, it immediately discharges the energy stored in the pouches in its cheeks.","Quando está irritado, descarrega imediatamente a energia armazenada nas bolsas em suas bochechas."
25,Pikachu Gigantamax,320,35,55,40,50,50,90,Eletric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a90881f103830615ee7f85e16fe9f586d41f2332.png,"Its Gigantamax power expanded, forming its supersized body and towering tail.","Seu poder Gigantamax se expandiu, formando seu corpo superdimensionado e sua cauda imponente."
26,Raichu,485,60,90,55,90,80,110,Electric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/9c28defa939e230800ec0d0c421d9f82c60df77a.png,"Its tail discharges electricity into the ground, protecting it from getting shocked.","Sua cauda descarrega eletricidade no solo, protegendo-o de choques."
26,Raichu Alolan Raichu,485,60,85,50,95,85,110,Electric,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/8be55a3ff2b24890fac0b9e2415dda9d0f893c1f.png,"It’s believed that the weather, climate, and food of the Alola region all play a part in causing Pikachu to evolve into this form of Raichu.","Acredita-se que o clima, o clima e a alimentação da região de Alola desempenham um papel importante na evolução do Pikachu para esta forma de Raichu."
27,Sandshrew,300,50,75,85,20,30,40,Ground,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/f5fcf7a292a180320138ace7235f8a2c16f6594a.png,"It digs deep burrows to live in. When in danger, it rolls up its body to withstand attacks.","Ele cava tocas profundas para viver. Quando em perigo, enrola o corpo para resistir aos ataques."
27,Sandshrew Alolan Sandshrew,300,50,75,90,10,35,40,Ice,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/d9ea1612a6ec53ba12e2d9abe28f99e66021bde1.png,"It lives on snowy mountains. Its steel shell is very hard—so much so, it can't roll its body up into a ball.",Vive em montanhas nevadas. Sua casca de aço é muito dura – tanto que ele não consegue enrolar seu corpo em uma bola.
28,Sandslash,450,75,100,110,45,55,65,Ground,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/d00d72f082b7dae546fa8bd5cf09fcfe53ffcae8.png,It is adept at attacking with the spines on its back and its sharp claws while quickly scurrying about.,Ele é adepto de atacar com os espinhos nas costas e suas garras afiadas enquanto corre rapidamente.
28,Sandslash Alolan Sandslash,450,75,100,120,25,65,65,Ice,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/cc154af4dcd20d14aba494a6a679f528bb9f3d6d.png,This Pokémon's steel spikes are sheathed in ice. Stabs from these spikes cause deep wounds and severe frostbite as well.,Os espinhos de aço deste Pokémon estão cobertos de gelo. As facadas desses espinhos também causam feridas profundas e queimaduras graves.
29,Nidoran♀,275,55,47,52,40,40,41,Poison,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/14179c8ab9c2003fc5b27a29e91e4cd195283d52.png,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection forthis small-bodied Pokémon. When enraged, it releasesa horrible toxin from its horn.","Nidoran♀ tem farpas que secretam um veneno poderoso. Acredita-se que eles tenham sido desenvolvidos como proteção para esse Pokémon de corpo pequeno. Quando enfurecido, ele libera uma toxina horrível de seu chifre."
30,Nidorina,365,70,62,67,55,55,56,Poison,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/fed980fd2341745923812e9dcd88a039aaaf36ea.png,"When Nidorina are with their friends or family, they keep theirbarbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated fromthe others.","Quando Nidorina está com amigos ou familiares, eles mantêm suas farpas guardadas para evitar que se machuquem. Este Pokémon parece ficar nervoso se for separado dos outros."
31,Nidoqueen,505,90,92,87,75,85,76,Poison,Ground,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/5174a41a9db00baf5dd664c92a12254b0baa5fde.png,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,O corpo de Nidoqueen está envolto em escamas extremamente duras. É hábil em enviar inimigos pelos ares com ataques severos. Este Pokémon é mais forte quando defende seus filhotes.
32,Nidoran♂,273,46,57,40,40,40,50,Poison,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/237579eaf2141edad61d647c62f074d53653337b.png,"Nidoran♂ has developed muscles for moving its ears. Thanksto them, the ears can be freely moved in any direction. Eventhe slightest sound does not escape this Pokémon's notice.","Nidoran♂ desenvolveu músculos para mover as orelhas. Graças a eles, as orelhas podem ser movidas livremente em qualquer direção. Mesmo o menor som não escapa à atenção deste Pokémon."
33,Nidorino,365,61,72,57,55,55,65,Poison,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/f3d8e45646fb05516dff845922c3d62d9aa33cbe.png,"Nidorino has a horn that is harder than a diamond. If it sensesa hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","Nidorino tem um chifre mais duro que um diamante. Se ele sentir uma presença hostil, todas as farpas em suas costas se eriçarão ao mesmo tempo, e ele desafiará o inimigo com todas as suas forças."
34,Nidoking,505,81,102,77,85,75,85,Poison,Ground,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ce24d9eb27f4e554ea5bd29840a35957f7bd9d30.png,"Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.","A cauda grossa de Nidoking contém um enorme poder destrutivo. Com um golpe, ele pode derrubar uma torre de transmissão de metal. Uma vez que este Pokémon fica furioso, não há como pará-lo."
35,Clefairy,323,70,45,48,60,65,35,Fairy,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/18e9dc86ced1320d6846f2c192c4eb04e517963a.png,"On nights with a full moon, Clefairy gather from all over and dance. Bathing in moonlight makes them float.","Nas noites de lua cheia, Clefairy se reúne em todos os lugares e dança. Tomar banho ao luar os faz flutuar."
36,Clefable,483,95,70,73,95,90,60,Fairy,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1865f85f9e417522f8de1a239fbff27f2106783b.png,"Said to live in quiet, remote mountains, this type of fairy has a strong aversion to being seen.","Dizem que vivem em montanhas remotas e tranquilas, esse tipo de fada tem uma forte aversão a ser vista."
37,Vulpix,299,38,41,40,50,65,65,Fire,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/f285c634efd141918f6ad066a6f59c20746d9050.png,"If it is attacked by an enemy that is stronger than itself, it feigns injury to fool the enemy and escapes.","Se for atacado por um inimigo mais forte que ele, ele finge estar ferido para enganar o inimigo e foge."
37,Vulpix Alolan Vulpix,299,38,41,40,50,65,65,Ice,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/89719dbcbddd11a1e6bc5f4366e00910a04eaf9f.png,"They live together in a skulk, helping one another. Before eating their prey, they freeze it solid with their −58 degree Fahrenheit breath.","Eles vivem juntos em um esconderijo, ajudando uns aos outros. Antes de comer sua presa, eles a congelam com sua respiração de -58 graus Fahrenheit."
38,Ninetales,505,73,76,75,81,100,100,Fire,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/cc96e6a4eee980724ebd725bb8785334d3290074.png,Some legends claim that each of its nine tails has its own unique type of special mystical power.,Algumas lendas afirmam que cada uma de suas nove caudas tem seu próprio tipo de poder místico especial.
38,Ninetales Alolan Ninetales,505,73,67,75,81,100,109,Ice,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/397b20ea73c8358185d6f1d2971b5825b0cb0baf.png,"Possessing a calm demeanor, this Pokémon was revered as a deity incarnate before it was identified as a regional variant of Ninetales.","Possuindo um comportamento calmo, este Pokémon foi reverenciado como uma divindade encarnada antes de ser identificado como uma variante regional de Ninetales."
39,Jigglypuff,270,115,45,20,45,25,20,Normal,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/7a2bec0dd522d66353f0cf3df9148070456a3349.png,"When its huge eyes waver, it sings a mysteriously soothing melody that lulls its enemies to sleep.","Quando seus enormes olhos tremem, ele canta uma melodia misteriosamente reconfortante que acalma seus inimigos."
40,Wigglytuff,435,140,70,45,85,50,45,Normal,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b3724395d41de1d0def948966c69148bd9f0f9c1.png,"It has a very fine fur. Take care not to make it angry, or it may inflate steadily and hit with a body slam.","Tem uma pelagem muito fina. Tome cuidado para não deixá-lo com raiva, ou ele pode inflar continuamente e bater com força."
41,Zubat,245,40,45,35,30,40,55,Poison,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/5d54b9d9cefa287ea258517537ba26f4103dda36.png,"It has no eyeballs, so it can't see. It checks its surroundings via the ultrasonic waves it emits from its mouth.","Não tem globos oculares, por isso não pode ver. Ele verifica o ambiente ao seu redor por meio das ondas ultrassônicas que emite pela boca."
42,Golbat,455,75,80,70,65,75,90,Poison,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/cedbf9afd3155d3df1e2ffebf049902598ebd74b.png,"Every once in a while, you'll see a Golbat that's missing some fangs. This happens when hunger drives it to try biting a Steel-type Pokémon.","De vez em quando, você verá um Golbat sem algumas presas. Isso acontece quando a fome o leva a tentar morder um Pokémon do tipo Steel."
43,Oddish,320,45,50,55,75,65,30,Grass,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6bad448cb0997a928b94e72b67eacb861271f796.png,"Its scientific name is Oddium wanderus. It is said to cover distances as far as 1,000 feet when night falls, walking on its two roots.","Seu nome científico é Oddium vagueus. Diz-se que ele percorre distâncias de até 300 metros quando a noite cai, caminhando sobre suas duas raízes."
44,Gloom,395,60,65,70,85,75,40,Grass,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/62973d0fc5f9bd5d8c819b8c885bd1f216983ff1.png,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,O fluido que escorre da boca não é baba. É um néctar usado para atrair presas.
45,Vileplume,490,75,80,85,110,90,50,Grass,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a95af5f577260373074117cb756e5ea38cd674ef.png,"The bud bursts into bloom with a bang. It then starts scattering allergenic, poisonous pollen.","O botão floresce com um estrondo. Em seguida, ele começa a espalhar pólen alergênico e venenoso."
46,Paras,285,35,70,55,45,55,25,Bug,Grass,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/837bcac8efc9329d9e3b9e46e95670a5d493b60a.png,"Whether it's due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don't grow up quite right.","Quer seja por falta de humidade ou de nutrientes, em Alola os cogumelos do Paras não crescem bem."
47,Parasect,405,60,95,80,60,80,30,Bug,Grass,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/e5838e76eb33d88601ba9d6e045e1bdf7e20f46a.png,"The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.","O inseto está quase morto, com o cogumelo em suas costas se tornando o corpo principal. Se o cogumelo cair, o inseto para de se mover."
48,Venonat,305,60,55,50,40,55,45,Bug,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/8b550ab54d22a87dc784ee1af6cff4ad33aa10a2.png,Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.,O veneno escorre por todo o seu corpo. Ele captura pequenos insetos Pokémon à noite que são atraídos pela luz.
49,Venomoth,450,70,65,60,90,75,90,Bug,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/c57d464a64424f031a9872f2ec3f7c0b8052d3c1.png,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.","As asas são cobertas por escamas semelhantes a poeira. Cada vez que bate as asas, libera poeira altamente tóxica."
50,Diglett,265,10,55,25,35,45,95,Ground,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/583fa625d6fda586a5734f5f9e455952aa6af15f.png,"It lives about one yard underground, where it feeds on plant roots. It sometimes appears aboveground.","Vive cerca de um metro abaixo do solo, onde se alimenta de raízes de plantas. Às vezes aparece acima do solo."
50,Diglett Alolan Diglett,265,10,55,30,35,45,90,Ground,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/19bd3a09933b3e9a0a7156ef294091922dbf771e.png,The things growing from its head are whiskers that have become metallic. Diglett communicates with its comrades by waving them.,As coisas que crescem em sua cabeça são bigodes que se tornaram metálicos. Diglett se comunica com seus camaradas acenando para eles.
51,Dugtrio,425,35,100,50,50,70,120,Ground,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/de7c2ea1a9f39427b4732a6122284f257f9e87aa.png,"Its three heads bob separately up and down to loosen the soil nearby, making it easier for it to burrow.","Suas três cabeças balançam separadamente para cima e para baixo para soltar o solo próximo, facilitando a escavação."
51,Dugtrio Alolan Dugtrio,425,35,100,60,50,70,110,Ground,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/7ba9403c475a889eadffb71b6cceae6e13c91a8e.png,Its shining gold whiskers are advanced sensors that can detect vibrations from sounds several miles away.,Seus brilhantes bigodes dourados são sensores avançados que podem detectar vibrações de sons a vários quilômetros de distância.
52,Meowth,290,40,45,35,40,40,90,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6ea01871238908780334293e6407033650d803a9.png,"All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow.","Tudo o que faz é dormir durante o dia. À noite, patrulha seu território com os olhos brilhantes."
